OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice,ExterQual_TA,Foundation_PConc,KitchenQual_TA
6,1976,1976,1193,1523,1523,2,7,2,478,180000,1,0,1
5,1953,2007,1057,1057,1057,1,5,1,246,109000,1,0,0
5,1961,1995,1109,1155,1155,1,6,2,576,148000,1,0,0
8,2002,2002,1065,1091,1989,2,7,2,586,255000,0,1,0
5,2005,2005,732,734,1838,2,7,2,372,192140,0,1,1
5,1921,1998,612,990,2601,3,8,2,621,189000,1,0,1
5,1994,1995,990,990,990,1,5,2,672,145000,1,1,1
6,1980,1981,650,888,1564,2,7,2,476,171000,1,0,1
7,2007,2007,689,703,1392,2,5,2,540,146000,0,1,0
6,1992,1992,1055,1055,1845,2,8,2,462,189000,0,1,0
6,1957,1957,1392,1392,1392,1,6,2,458,166000,1,0,1
6,1963,1963,780,983,1796,1,8,2,483,140000,1,0,1
7,2004,2004,1391,1391,1391,2,5,2,530,196000,0,1,0
8,1998,1998,1086,1086,1924,2,7,2,592,280000,0,1,0
4,1920,1950,698,698,1128,1,6,2,528,68400,1,0,1
6,1981,1981,1422,1422,1422,2,7,2,576,175500,1,0,0
5,1962,1962,894,894,894,1,5,1,308,109500,1,0,1
7,1977,1977,808,1161,1969,2,8,2,534,190000,1,0,1
7,2005,2006,1346,1504,1504,2,7,2,437,191000,0,1,0
5,1941,1950,616,616,1111,1,5,1,200,95000,1,0,1
6,1976,1976,1262,1262,1262,2,6,2,460,181500,1,0,1
6,1920,2000,684,684,1196,1,7,2,528,110000,1,0,0
7,1973,1973,1242,1242,1242,1,6,2,528,175500,1,0,1
5,1972,2003,768,768,768,1,5,1,396,133900,1,0,1
6,1980,1980,1686,1686,1686,2,7,2,612,207500,1,0,1
8,2006,2006,1095,1095,1939,2,8,3,1053,266000,0,1,0
7,1990,1990,1309,1339,1339,2,6,2,484,180000,1,0,1
6,1980,1980,561,561,1229,1,5,2,462,124000,1,0,1
7,2005,2005,1364,1364,1364,2,6,2,484,185850,0,1,0
9,2007,2008,1620,1620,1620,2,6,3,912,315500,0,1,0
6,1998,1998,1216,1216,1216,2,5,2,402,164000,1,1,1
8,2003,2003,1650,1690,3279,3,12,3,841,538000,0,1,0
7,2001,2002,920,920,1786,2,6,2,608,223500,0,1,0
3,1915,1950,672,694,1214,1,6,3,936,105000,1,1,1
5,1931,1993,715,875,875,1,5,1,180,105000,1,0,1
6,1998,1998,804,804,1682,2,7,2,523,200500,1,1,0
5,1965,2008,912,912,912,1,5,2,576,147000,1,0,0
5,1993,1995,796,796,1362,1,5,2,480,143000,1,0,1
5,1940,1950,728,976,1308,1,7,1,256,160000,0,0,1
8,1999,2000,1004,1004,1852,2,7,3,660,230000,0,1,0
7,1915,1970,756,961,1717,1,7,3,642,140000,1,0,0
7,1996,1997,729,729,1446,2,6,2,406,175000,1,1,1
4,1916,1990,1196,1196,1196,1,5,2,440,109900,1,0,1
7,1975,1975,1533,1533,1533,2,5,2,576,280000,1,0,0
6,1971,1971,1010,1052,1052,1,6,2,440,155000,1,0,1
7,1953,1953,1304,1304,2287,2,7,2,667,225000,0,0,1
7,1928,1950,861,877,1477,2,6,1,216,145000,1,0,1
7,1910,1993,728,1136,2019,1,8,2,532,167500,1,0,0
4,1969,1969,1198,1258,1258,0,6,2,400,108959,1,0,1
5,1937,1950,731,981,1768,1,7,1,240,175000,1,0,0
6,1995,1995,1200,1200,1200,2,6,2,521,177500,0,1,0
5,1956,1956,1144,1144,1144,1,6,1,596,129000,1,0,1
8,2000,2000,1145,1145,2198,2,9,3,836,250000,0,1,0
6,1971,1971,483,483,987,1,4,1,264,85400,1,0,1
6,1976,1976,855,855,1456,2,7,2,440,148500,1,0,1
7,2006,2006,1498,1498,1498,2,5,2,675,204900,0,1,0
5,1963,1963,1144,1144,1144,1,6,1,336,124000,1,0,1
7,2004,2004,864,864,1728,2,7,2,572,190000,0,1,0
6,1993,1993,832,832,1710,2,7,2,506,187000,0,1,0
7,2002,2002,916,920,1861,2,8,2,492,200000,0,1,0
8,2004,2004,707,707,1414,2,6,2,403,178000,0,1,0
5,1962,1962,864,876,1812,2,8,1,264,169500,1,0,1
6,1908,1997,907,1307,2358,3,10,2,360,240000,1,0,1
7,1992,1992,750,1061,1923,2,8,2,564,190000,0,1,0
5,1959,1959,1350,1328,1328,1,5,1,308,170000,1,0,1
8,2006,2006,1656,1656,1656,2,7,3,826,249700,0,1,0
7,1989,1990,1210,1238,2519,2,9,2,628,335000,0,1,0
7,1920,1950,793,901,1802,1,9,1,216,200100,1,0,1
7,2004,2004,1517,1535,1535,2,7,2,532,214000,0,1,0
10,1892,1993,1107,1518,3608,2,12,3,840,475000,0,0,0
4,1946,1950,747,774,1230,1,5,1,305,121600,1,0,1
8,2001,2001,810,810,1665,2,6,2,528,227000,0,1,0
4,1965,1965,960,960,960,1,6,1,432,94750,1,0,1
3,1922,1950,1007,1077,1077,1,6,1,210,91000,1,0,1
6,1932,1950,952,1170,2345,2,9,2,360,239000,1,0,1
5,1963,1999,520,1464,1464,2,6,2,480,175000,1,0,1
8,2007,2007,1694,1694,1694,2,7,3,818,318000,0,1,0
6,2005,2005,547,1072,1072,1,5,2,525,148000,1,1,1
6,1953,1953,1505,1505,1505,1,6,2,505,149500,1,0,1
5,1921,2006,876,964,964,1,5,2,432,163500,1,0,1
8,2005,2005,893,901,1801,2,8,3,800,239900,0,1,0
6,1956,1956,1196,1196,1196,1,6,1,297,139000,1,0,1
8,1995,1995,1128,1142,2020,2,8,2,466,239500,0,1,0
7,2004,2005,847,847,1948,2,8,2,434,195000,0,1,0
5,1984,1985,876,923,923,1,5,1,264,119500,1,0,1
7,2004,2004,840,840,1720,2,7,2,440,183500,0,1,0
9,2006,2007,1746,1746,1746,2,7,3,758,377500,0,1,0
9,2006,2006,1249,1249,2596,3,9,3,840,342643,1,1,0
4,1971,1971,864,864,864,1,4,2,576,97000,1,0,1
5,1910,2003,661,661,1250,2,8,2,552,139000,1,1,1
6,2009,2009,1212,1212,1212,2,6,2,460,186000,1,1,0
6,1987,1987,1112,1137,1137,2,5,2,551,176000,1,0,0
7,1993,1994,1311,1325,2418,2,9,3,983,341000,0,1,0
9,2007,2007,1869,1869,1869,2,6,2,617,318061,0,1,0
5,1994,1995,1097,1097,1097,1,6,2,672,145000,1,1,1
6,2009,2009,612,612,1224,2,4,2,528,173733,0,1,0
9,2009,2010,2330,2364,2364,2,11,3,820,611657,0,1,0
8,2004,2005,1256,1269,1269,2,6,2,430,192000,0,1,0
8,2007,2007,866,866,1768,2,7,2,578,212000,0,1,0
5,1965,1965,1256,1256,1256,1,6,1,276,147500,0,0,1
6,2006,2006,1314,1314,1314,2,6,2,440,176432,0,1,0
7,1995,1995,1203,1214,2520,2,9,3,721,290000,0,1,0
7,2006,2006,868,887,2021,2,9,2,422,274725,0,1,0
7,2005,2005,856,1166,1166,2,5,2,400,190000,0,1,0
5,1900,1950,540,889,1440,1,6,1,352,79000,1,0,1
6,1976,1976,1041,1125,1125,1,6,1,352,125000,1,0,1
9,2005,2005,1684,1684,1684,2,6,2,564,266000,0,1,0
5,1948,1950,720,720,1271,2,7,1,312,135000,1,0,1
7,2007,2007,1340,1340,1340,2,6,2,396,181134,0,1,0
5,1959,1959,1041,1041,1041,1,6,1,270,124500,1,0,1
7,1970,1970,1277,1277,1277,1,5,2,526,167000,1,0,1
6,1926,2004,884,904,904,1,4,1,180,119000,0,1,1
7,1954,2005,1385,1363,1363,1,5,2,439,241500,1,0,1
7,1996,1996,1504,1504,1504,2,6,2,478,203000,0,1,0
6,1972,1972,672,672,1218,1,7,1,264,118000,1,0,1
8,2007,2007,1482,1482,2574,2,10,3,868,276000,0,1,0
7,2003,2004,764,764,1626,2,6,2,474,173000,0,1,0
8,2006,2006,1935,1973,1973,2,9,3,895,395000,0,1,0
6,1978,1978,855,855,1456,2,7,2,440,146000,1,0,1
6,1976,1976,804,804,1548,2,7,2,440,155000,1,0,0
6,1962,1981,912,1085,1734,1,7,2,440,159000,1,0,0
5,1920,1950,1120,1130,1130,1,5,2,720,120000,1,0,1
5,1942,1995,728,888,1644,1,7,1,312,146500,1,0,0
8,2007,2007,1234,1234,1234,2,7,2,484,179900,0,1,0
7,1928,2005,689,689,1378,2,7,2,360,161000,1,0,0
6,1962,1962,1116,1116,1116,1,5,2,440,160000,1,0,1
8,2003,2004,1181,1234,2374,2,10,3,656,285000,0,1,0
6,1958,1958,588,1138,1138,1,6,1,264,145000,1,0,1
6,1964,1964,1248,1350,1350,1,6,2,520,168500,1,0,1
7,1920,1970,824,1687,3082,2,12,2,672,197000,1,0,1
8,2009,2009,832,832,1935,2,8,2,552,263435,0,1,1
7,1973,1973,2223,2223,2223,2,8,2,516,244000,1,0,1
4,1941,1950,672,672,924,1,5,1,280,80000,1,0,0
5,1962,1980,931,1283,1283,1,6,2,506,140000,1,0,1
5,1938,1995,803,803,1360,1,6,1,297,125500,1,0,0
7,1910,1950,925,964,1889,1,9,1,308,122000,0,0,1
5,1965,1965,828,965,965,1,6,1,300,119900,1,0,1
6,2005,2006,750,750,1500,2,6,2,564,173900,1,1,0
6,1923,1996,602,900,1502,1,7,1,180,165000,1,1,0
8,2007,2007,1419,1419,1419,2,7,2,567,392000,0,1,0
5,1959,1959,1466,1466,1466,1,6,2,528,149900,1,0,0
5,1922,1950,993,1048,1048,1,5,1,280,113000,1,0,1
5,1979,1979,1086,1224,1224,0,6,2,528,153337,1,0,1
7,1959,1997,1501,1801,1801,2,6,2,484,289000,1,0,1
7,2006,2006,879,879,1863,2,9,3,660,219210,0,1,0
7,1920,1950,596,998,1762,1,8,2,576,157000,1,0,0
6,1962,1962,1099,1431,1431,1,6,1,296,165000,1,0,1
10,1893,2000,1237,1521,2775,3,9,2,880,325000,0,0,0
7,1974,1974,1053,1173,1173,2,6,2,528,170000,1,0,0
6,1980,1980,716,716,1556,2,6,2,452,151000,1,0,1
6,1950,2004,1092,1152,1152,1,6,1,300,158500,1,0,0
6,1962,2005,1319,1537,1537,1,7,2,462,174000,0,0,0
7,2005,2006,1368,1368,1368,2,6,2,474,202665,0,1,0
6,2006,2006,728,728,1456,2,8,2,429,172785,0,1,1
6,1950,1950,932,932,932,1,4,1,306,124000,1,0,0
6,2003,2003,848,848,848,1,3,2,420,136500,0,1,0
5,1925,1994,702,842,1472,1,6,1,250,125000,1,1,0
8,2008,2008,1932,1932,1932,2,7,3,774,394617,0,1,0
6,1964,1991,1302,1302,1302,2,7,1,309,158000,1,0,0
4,1885,1995,641,1047,1047,1,6,1,273,100000,1,0,1
5,1949,1950,832,1036,1268,1,6,1,288,133000,0,0,1
5,1924,1950,784,949,1221,1,7,1,392,104900,1,0,1
5,1921,1950,616,616,616,1,4,1,205,89000,1,0,1
5,1960,1960,1268,1264,1264,1,6,2,461,167500,1,0,1
6,1984,1985,1040,1097,1097,2,6,2,480,152000,1,1,1
7,1990,1990,1424,1442,1442,2,5,2,500,180500,1,1,1
5,1952,1952,980,1148,1148,1,6,1,308,123500,1,1,1
6,2005,2005,738,738,1476,2,7,2,540,173500,0,1,0
4,1954,1954,864,948,948,1,5,1,248,111000,1,1,1
7,1998,1999,1153,1153,2031,2,8,2,541,222500,0,1,0
7,2003,2004,912,912,2094,2,8,2,615,263000,0,1,0
6,1954,1954,1367,1375,1375,1,5,2,451,140000,1,0,1
6,2005,2005,1141,1141,1141,1,6,2,484,142500,0,1,1
6,1977,1977,1350,1334,1334,2,6,2,630,167900,1,0,1
7,1967,2007,710,1898,2978,2,11,2,564,242000,0,0,0
8,1995,1996,1220,1220,2090,2,8,2,556,240000,0,1,0
7,2005,2006,756,756,1553,2,6,2,615,186500,0,1,0
7,2001,2002,1541,1541,1541,2,6,3,843,205000,0,1,0
7,2004,2005,1221,1221,1221,2,6,2,400,185000,0,1,0
8,2004,2005,1686,1694,1694,2,7,2,636,307000,0,1,0
7,2005,2005,1530,1530,1530,2,7,2,430,260000,0,1,0
8,2006,2007,1466,1466,2828,3,11,3,1052,424870,0,1,0
8,2006,2007,1795,1795,1795,2,7,3,895,147000,0,1,0
5,1960,1960,1075,1507,1507,2,7,1,404,127000,1,0,1
5,1957,1957,816,816,816,1,5,1,308,129900,1,0,1
5,1972,1972,864,864,864,1,5,1,338,133500,1,0,1
6,1997,1997,916,916,1600,2,7,2,460,169000,1,1,1
7,1941,1950,704,860,1564,1,7,1,234,174500,1,0,0
9,2003,2004,1572,1572,2668,2,10,3,726,412500,0,1,0
6,1997,1997,802,802,1511,2,8,2,413,185000,1,1,1
7,2003,2003,1337,1337,1337,2,6,2,531,185000,0,1,0
7,1916,1950,815,815,1690,1,7,1,225,144000,1,0,1
7,1926,2004,1276,1276,2080,1,9,1,282,234000,0,0,0
5,1980,1980,936,936,936,1,4,2,672,140000,1,0,1
9,2003,2004,1792,1792,1792,2,6,3,874,374000,0,1,0
4,1972,1972,1138,1181,1181,2,6,2,588,137500,1,0,1
5,2006,2007,1125,1125,1125,1,5,2,430,155000,1,1,1
7,2007,2007,1373,1555,1555,2,7,3,660,174000,0,1,0
5,1955,1955,384,1360,1360,1,6,2,572,130000,1,0,1
6,1977,1977,690,698,1426,1,6,2,440,159500,1,0,1
7,1995,1996,1237,1253,1253,2,6,2,402,176000,1,1,1
6,1917,1950,735,1134,2058,1,8,2,396,129500,1,0,1
9,2007,2007,1822,1828,1828,2,9,3,774,314813,0,1,0
5,1967,1967,980,980,980,2,6,1,384,135500,1,1,1
8,2004,2005,1836,1836,1836,2,7,3,862,280000,0,1,0
5,1950,2007,1113,1113,1113,1,5,1,264,147000,0,0,0
7,1988,1988,1845,1872,1872,2,6,2,604,241500,1,0,1
5,1928,1950,1042,1042,1576,1,8,1,225,149000,1,0,1
6,2005,2005,728,728,1456,2,8,2,400,176000,1,1,0
7,1925,1950,1026,1133,1820,2,8,1,240,184000,1,1,1
5,1965,1965,1214,1214,1214,1,6,2,461,140000,1,0,1
9,2009,2010,1930,1940,1940,2,8,3,606,395192,0,1,0
9,2009,2009,1766,1766,1766,2,7,3,478,370878,0,1,0
8,2006,2006,1660,1660,1660,2,8,2,500,290000,0,1,0
5,1954,1954,1268,1268,1268,1,7,1,244,132000,1,1,1
7,1940,1984,800,960,1740,1,6,1,240,219500,1,0,1
5,1974,1974,864,894,894,1,5,2,440,142500,1,0,1
5,1954,1954,811,811,1387,2,7,1,256,93000,1,0,0
6,1950,1950,1032,1032,1252,1,6,1,288,119000,1,0,1
7,2009,2009,1502,1502,1502,2,7,2,644,233170,0,1,0
6,1919,1950,764,1060,1824,1,8,2,520,180500,1,1,1
6,2005,2006,547,1072,1072,2,5,2,525,140000,1,1,1
6,1999,2000,953,953,1647,2,7,2,460,175000,1,1,1
5,1959,1994,1246,1246,1246,1,6,1,305,154000,1,0,0
3,1900,1970,978,1014,1699,2,7,2,420,95000,1,0,1
6,1934,1995,715,849,1660,1,6,1,240,188700,1,0,1
5,1982,2003,816,816,816,1,4,2,816,138000,1,1,1
5,1994,1994,990,990,990,1,5,1,299,126000,1,1,1
6,1966,1966,756,1051,1839,1,7,2,442,155000,1,0,1
5,1908,1991,504,936,1252,1,5,2,576,127000,1,1,1
8,2006,2006,1588,1588,1588,2,7,3,825,227000,0,1,0
6,1966,1966,814,913,913,1,6,1,240,129000,1,0,1
7,2007,2007,1689,1689,1689,2,7,3,954,248328,0,1,0
10,2007,2008,1682,1742,2332,2,9,3,846,426000,0,1,0
5,1994,1995,990,990,990,1,5,2,480,138000,1,1,1
6,1905,2000,482,1221,1912,2,7,2,672,163000,1,0,1
5,1968,2003,1437,1473,1473,1,5,1,452,143000,1,0,0
8,2006,2007,1976,1976,1976,2,7,3,908,440000,0,1,0
5,1950,1950,1164,1164,1164,1,5,1,240,125000,1,0,1
7,1880,2003,1240,1320,2640,1,8,4,864,265979,0,0,0
7,1998,1998,1108,1108,2097,2,8,2,583,274300,1,1,0
7,2003,2004,998,1006,2046,2,8,3,871,284000,0,1,0
6,2004,2004,848,848,848,1,3,2,420,155900,0,1,0
5,1977,1977,980,980,980,1,6,2,484,135000,1,0,1
7,2000,2000,1525,1525,1525,2,6,2,541,235000,0,1,0
5,1925,1997,884,884,1348,1,5,1,216,117000,1,0,1
8,1999,2007,1152,1164,2270,2,9,3,671,290000,0,1,0
4,1925,1950,686,810,1328,1,8,1,210,107000,1,0,1
7,2006,2007,1494,1494,1494,2,7,3,840,279500,0,1,0
6,1997,1997,928,928,1764,2,7,2,470,231500,1,1,0
8,2001,2002,1593,1593,1593,1,5,2,682,286000,0,1,0
8,2005,2006,1868,2028,2028,2,7,3,880,369900,0,1,0
7,1996,1997,1117,1127,2013,2,8,2,455,269790,0,1,1
7,1914,1970,880,880,1768,1,6,2,320,163000,1,0,1
6,1974,1974,901,943,1876,2,8,2,540,185000,0,0,0
4,1961,1961,1040,1120,1120,1,5,2,544,129000,1,0,0
8,2006,2006,1489,1489,1489,2,7,2,776,232600,0,1,0
7,2006,2006,1391,1391,1962,2,7,3,868,239799,0,1,0
8,2007,2008,1704,1704,1704,2,7,3,772,306000,0,1,0
4,1900,1950,1095,1095,1774,2,8,3,779,87000,1,0,1
5,1955,1955,816,872,1393,1,8,1,300,135500,1,1,1
7,2006,2006,1240,1240,1240,2,5,3,826,194000,0,1,0
7,1990,1991,700,1122,2243,2,8,3,746,225000,0,0,0
5,1957,1957,1314,1314,1314,1,5,1,294,145000,1,0,1
7,2005,2005,1113,1113,1971,2,8,2,689,253000,0,1,0
5,1949,2003,845,893,893,1,4,2,576,135000,1,0,0
7,1979,1979,539,1040,1725,2,6,2,550,197000,1,0,1
5,1967,1967,912,912,912,1,5,1,336,125000,1,0,1
6,1972,2006,1161,1381,1381,1,5,2,676,197500,1,0,0
7,2005,2005,866,866,1768,2,7,2,603,226700,0,1,0
6,2003,2003,864,864,1728,2,7,2,673,207500,0,1,0
5,1957,2002,1216,1526,1526,1,7,1,364,144500,1,0,1
7,1994,1995,915,933,1908,2,8,2,493,210000,0,1,0
5,1904,2002,650,958,1539,2,8,2,686,157500,1,1,0
7,2006,2006,1293,1301,1301,2,5,2,572,187750,0,1,0
7,1930,1950,637,1108,1108,1,6,1,280,139400,1,1,0
9,2008,2009,1926,1966,3140,3,11,3,820,485000,0,1,0
5,1916,1950,624,624,1344,1,7,3,513,98000,1,0,1
9,2008,2008,1452,1476,2713,2,11,3,858,446261,0,1,0
4,2005,2005,1132,1132,1132,1,5,2,451,176000,1,1,0
7,1986,1991,791,1236,2093,2,7,2,542,215000,1,0,1
5,1914,1950,747,892,1784,1,9,1,180,138887,1,0,1
5,2005,2005,547,1072,1072,1,5,2,525,145000,1,1,1
10,2008,2008,3094,2402,2402,2,10,3,672,555000,0,1,0
5,1975,1975,1056,1074,1074,1,6,2,495,153500,1,0,1
6,1918,1950,1163,1163,1674,2,8,2,396,185000,1,0,1
6,1958,1958,1080,1080,1080,1,5,1,288,136000,1,0,1
7,2002,2002,831,831,1660,2,7,2,493,195000,0,1,0
7,2004,2004,976,976,1708,2,7,2,380,130000,0,1,0
7,2005,2005,600,520,1200,2,4,2,480,151000,1,1,0
5,1970,1970,765,765,1365,1,7,2,440,125000,1,0,1
6,1993,1993,1199,1199,1199,2,5,2,530,153900,0,1,0
6,1979,1979,918,918,918,2,5,1,264,99500,1,0,1
8,1918,1990,1360,1360,3112,2,8,2,795,235000,0,1,0
8,2003,2003,1482,1482,2262,2,10,3,749,305000,0,1,0
5,1958,1985,912,912,912,1,5,1,297,120000,1,0,1
7,1990,1990,1475,1532,2329,2,10,2,514,262280,1,1,0
5,1910,2002,264,768,1432,2,7,2,360,132000,1,0,1
8,2007,2007,1485,1464,1464,2,6,3,754,282922,0,1,0
6,1997,1997,616,616,1688,2,8,2,603,200000,1,1,0
6,1941,1950,735,869,1218,1,6,2,440,131000,1,0,1
7,1976,1976,832,832,1664,2,8,2,528,162900,1,1,1
5,1967,2003,894,894,894,1,5,2,450,130000,1,0,0
6,2004,2004,798,798,1640,2,6,2,520,173000,0,1,0
7,2005,2005,1362,1506,1506,2,6,2,440,213490,0,1,0
6,1920,1999,611,751,1362,2,6,2,502,128000,1,0,1
5,1958,1958,864,864,864,1,5,2,624,129900,1,0,1
5,1926,1950,768,789,789,1,5,1,200,96500,1,0,1
5,1962,1962,1057,1057,1057,1,6,2,576,132000,1,0,1
10,2003,2003,2392,2392,2392,2,8,3,968,386250,0,1,0
7,2005,2005,1734,1734,1734,2,7,2,660,260000,0,1,0
9,2005,2006,1922,1922,1922,2,8,3,676,377426,0,1,0
7,2006,2006,654,664,1496,2,7,2,426,179665,0,1,0
7,2004,2005,847,847,1959,2,8,2,434,215000,0,1,0
7,1965,1965,2136,2036,2036,2,8,2,513,375000,1,0,1
6,1977,1977,1196,1279,1279,2,6,2,473,171500,1,0,1
5,1925,2004,680,764,764,1,4,2,504,73000,1,0,1
7,2006,2006,1670,1670,1670,2,7,3,690,240000,0,1,0
7,1998,1998,1195,1195,1839,2,7,2,486,221000,0,1,1
5,1977,1977,1126,1126,1126,2,5,2,484,160000,1,0,1
9,2006,2007,2121,2121,2121,2,8,3,732,415298,0,1,0
7,2004,2004,860,860,1720,2,7,2,565,196500,0,1,0
5,2005,2006,1090,1090,1090,1,5,2,450,157000,1,1,1
6,1978,1988,1542,2073,2073,2,7,2,500,210000,1,0,1
6,1971,2004,1258,1258,1258,2,5,2,528,145000,0,0,0
5,1963,1963,816,816,816,1,5,2,516,110000,0,0,1
7,2006,2006,770,778,1576,2,6,2,614,197000,0,1,0
6,1978,1978,855,855,1441,2,7,2,440,148500,1,0,1
5,1927,1950,1008,1028,1028,1,5,2,360,115000,1,0,1
7,2005,2006,1552,1552,1552,2,7,3,782,212900,0,1,0
9,2007,2008,1698,1698,1698,2,8,3,768,320000,0,1,0
5,1975,1975,969,969,969,1,5,2,440,122000,1,0,1
6,1973,1973,483,483,987,1,5,1,264,83000,1,0,1
5,1953,1953,773,773,773,1,4,1,240,110000,1,0,1
5,1957,2000,1134,1803,1803,2,8,2,484,155000,1,0,1
5,1892,1965,994,1378,2372,2,11,1,432,107500,1,0,1
6,1976,1976,1029,1117,1117,1,6,2,672,107000,1,0,1
8,2008,2009,1573,1578,1578,2,7,3,840,287090,0,1,0
6,2005,2006,1362,1362,1362,2,6,2,460,194700,0,1,0
6,1972,1972,483,483,987,1,5,1,288,94500,1,0,1
7,2007,2007,1266,1266,1266,2,6,2,388,159895,0,1,0
6,1980,1980,923,923,923,2,5,1,264,143000,1,0,1
5,1916,1987,660,808,1656,2,8,1,180,135000,1,0,1
6,2000,2000,959,959,1671,2,7,2,472,173000,1,1,1
7,2002,2002,1459,1459,1459,2,6,2,527,192000,0,1,0
5,1955,1990,864,864,864,1,5,2,572,115000,1,0,1
5,1956,1956,1048,1048,1048,1,6,1,286,135000,1,0,1
7,2006,2007,1258,1402,1402,0,7,3,648,194201,0,1,0
